playername,TRB,AST,STL,BLK,PTS,fame,now,WS,MP
Jared Dudley,2732.0,1256.0,691.0,144.0,6492.0,0,1,3.5,18921.0
Kevin Durant,5031.0,2663.0,840.0,738.0,19121.0,0,1,11.99,26278.0
Marcin Gortat,6154.0,769.0,373.0,895.0,7845.0,0,1,5.11666666667,19897.0
Jeff Green,4340.0,1515.0,709.0,504.0,12633.0,0,1,3.05333333333,29028.0
Al Horford,5608.0,1926.0,534.0,784.0,9240.0,0,1,7.06,21535.0
Ian Mahinmi,2047.0,230.0,263.0,341.0,2421.0,0,1,2.37777777778,7902.0
Josh McRoberts,2011.0,1042.0,254.0,221.0,2734.0,0,1,1.725,9752.0
Joakim Noah,5789.0,1807.0,511.0,840.0,5557.0,0,1,5.96,17863.0
Ramon Sessions,2363.0,3606.0,579.0,62.0,9149.0,0,1,2.35,20836.0
Jason Smith,1970.0,425.0,202.0,389.0,3599.0,0,1,1.54444444444,9554.0
Brandan Wright,1875.0,239.0,246.0,510.0,3522.0,0,1,2.27142857143,8396.0
Nick Young,1433.0,705.0,400.0,144.0,8483.0,0,1,1.575,16718.0
Thaddeus Young,4776.0,1307.0,1182.0,321.0,11136.0,0,1,4.19166666667,25028.0
Ryan Anderson,3021.0,505.0,304.0,195.0,7316.0,0,1,4.7,14708.0
Darrell Arthur,1753.0,400.0,301.0,304.0,3228.0,0,1,1.5625,8804.0
D.J. Augustin,1544.0,3355.0,522.0,35.0,8388.0,0,1,2.86666666667,20471.0
Nicolas Batum,3341.0,2304.0,594.0,426.0,7600.0,0,1,5.22222222222,19893.0
Jerryd Bayless,1403.0,1961.0,427.0,79.0,5710.0,0,1,1.66923076923,14086.0
Michael Beasley,2387.0,640.0,301.0,261.0,6411.0,0,1,1.44444444444,11973.0
Bobby Brown,186.0,424.0,73.0,8.0,1214.0,0,1,-0.314285714286,3023.0
Mario Chalmers,1585.0,2445.0,959.0,102.0,5864.0,0,1,3.55,17197.0
Goran Dragic,2312.0,3669.0,806.0,149.0,10429.0,0,1,3.98461538462,21741.0
Danilo Gallinari,2457.0,1003.0,426.0,229.0,8023.0,0,1,4.7,16426.0
Marc Gasol,4893.0,2086.0,594.0,971.0,9592.0,0,1,7.73333333333,21721.0
Eric Gordon,1251.0,1559.0,491.0,159.0,8151.0,0,1,2.91111111111,16471.0
George Hill,1924.0,2002.0,555.0,176.0,7039.0,0,1,5.98888888889,17357.0
DeAndre Jordan,6817.0,440.0,410.0,1207.0,6151.0,0,1,7.44444444444,18621.0
Kosta Koufos,2933.0,243.0,239.0,481.0,3440.0,0,1,2.17272727273,9812.0
Courtney Lee,2210.0,1375.0,840.0,242.0,8131.0,0,1,3.29230769231,23162.0
Brook Lopez,4005.0,867.0,328.0,972.0,10444.0,0,1,5.52222222222,18118.0
